,순위,영화명,개봉일,매출액,관객수,스크린수,배급사,coach,actor_main_name,actor_sub_name,actor_cameo_name,maker,only_gener,genre_one,year
85,86,봉오동 전투,2019.8.7,"40,588,648,538",4787538,"1,476",쇼박스,원신연,"['유해진', '류준열', '조우진']","['키타무라카즈키', '이케우치히로유키', '박지환', '최유화', '성유빈', '이재인', '다이고코타로', '홍상표', '최유화', '원풍연']","['박희순', '최민식']","['빅스톤픽쳐스', '더블유픽처스 -', '쇼박스']"," 사극, 액션, 드라마 ",사극,2019
86,87,조선명탐정 : 각시투구꽃의 비밀,2011.1.27,"35,841,769,500",4786259,611,쇼박스,김석윤,"['김명민', '한지민', '오달수']","['김호연', '최무성', '우현', '이재용', '예수정', '정인기']",,['청년필름']," 코미디, 액션 ",코미디,2011
87,88,군도: 민란의 시대,2014.7.23,"36,987,755,999",4774895,"1,394",쇼박스,윤종빈,"['하정우', '강동원', '조진웅', '마동석', '정만식', '김성균', '주진모', '이경영']","['이성민', '윤지혜', '김재영', '노남석대역)', '송영창', '이경영', '김병옥', '임현성']","['한예리', '김해숙']","['영화사 월광', '쇼박스']"," 사극, 액션 ",사극,2014
88,89,남산의 부장들,2020.1.22,"41,223,596,650",4750104,"1,659",쇼박스,우민호,"['이병헌', '이성민', '곽도원', '이희준', '김소진']","['김승훈', '박성근', '서현우', '지현준', '박지일', '이태형', '주석태', '이도국', '김민상']",['김홍파'],['하이브미디어코프'], 드라마 ,드라마,2020
89,90,범죄와의 전쟁: 나쁜놈들 전성시대,2012.2.2,"36,538,823,500",4719872,699,쇼박스,윤종빈,"['최민식', '하정우']","['조진웅', '마동석', '곽도원', '김성균', '송영창', '김종수', '권태원', '김종구', '김영선']",['김응수'],"['팔레트픽처스', '쇼박스']"," 범죄, 드라마 ",범죄,2012
90,91,신세계,2013.2.21,"34,881,330,905",4682492,671,넥스트엔터테인먼트월드(NEW),박훈정,"['이정재', '최민식', '황정민']","['박성웅', '송지효', '정영기', '김홍파', '장광', '김윤성', '최일화', '권태원']",,"['사나이픽처스', '페퍼민트앤컴퍼니', '대명문화공장', '파트너스케이']"," 범죄, 액션 ",범죄,2013
91,92,도가니,2011.9.22,"35,566,854,800",4662822,644,씨제이이엔엠,황동혁,"['정유미', '공유']","['허재호', '임현성', '최진호', '이예나', '김현수', '장광', '전국환', '엄효섭', '남명렬', '이상희', '박혜진', '김민상']",,"['삼거리픽쳐스', '판타지오']", 드라마 ,드라마,2011
92,93,내 아내의 모든 것,2012.5.17,"34,222,160,500",4598583,563,넥스트엔터테인먼트월드(NEW),민규동,"['임수정', '이선균', '류승룡']","['박희본', '김지영', '남명렬', '김도영']",,"['수필름', '영화사 집']"," 코미디, 멜로/로맨스 ",코미디,2012
93,94,판도라,2016.12.7,"36,064,461,064",4583645,"1,166",넥스트엔터테인먼트월드(NEW),박정우,"['김남길', '김영애', '문정희', '정진영', '이경영', '강신일', '김대명', '유승목', '김주현', '김명민']","['박선희', '공정환', '주석태', '송철호', '김영웅', '김태훈']",,['씨에이씨엔터테인먼트']," 드라마, 스릴러 ",드라마,2016
94,95,나쁜 녀석들: 더 무비,2019.9.11,"39,560,195,124",4573902,"1,511",씨제이이엔엠,손용호,"['마동석', '김상중', '김아중', '장기용']","['박형수', '박상욱', '김인우', '지승현', '박효준', '이재윤', '박원상', '조영진', '한정현', '전익령', '김형묵', '윤병희', '강영묵']","['강예원', '김혜윤', '조동혁', '공정환']","['씨제이이엔엠', '영화사비단길']"," 범죄, 액션 ",범죄,2019
95,96,노량: 죽음의 바다,2023.12.20,"45,001,435,027",4572386,"2,196","롯데컬처웍스롯데엔터테인먼트,에이스메이커무비웍스",김한민,"['김윤석', '백윤식', '정재영', '허준호']","['김성규', '이규형', '이무생', '최덕문', '안보현', '박명훈', '박훈', '문정희', '정기섭', '유성주', '안성봉', '안세호', '이성욱', '오누리', '주석태', '최광제', '최정태', '김중희']","['안성기', '여진구', '이제훈', '박용우', '김민상', '공명', '남명렬', '남경읍', '배한성', '김재영']",['빅스톤픽쳐스']," 사극, 액션 ",사극,2023
96,97,연가시,2012.7.5,"32,175,400,664",4515833,759,씨제이이엔엠,박정우,"['김명민', '문정희', '김동완', '이하늬']","['강신일', '송영창', '조덕현', '최정우', '전국환', '정인기']",,['오죤필름']," 공포(호러), SF ",공포(호러),2012
